 
Entrenada el ,Inicio de datos,fin de datos ,Festivos,Tendencia,Suavizado,Tipo de red ,Función de entrenamiento  ,Función de aprendizaje  ,Numero de capas  ,Neuronas por capa 1,Neuronas por capa 2,Neuronas por capa 3,Neuronas por capa 4,Neuronas por capa 5,Función de transferencia usada,MAD en entrenamiento,MSE en entrenamiento,MAPE en entrenamiento (,Cantidad de épocas empleadas ,MAD en validación,MSE en validación ,MAPE en validación (,Cantidad de épocas empleadas ,
18-Jan-2004 10:29:24,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,1,0,0,0,0,logsig,3801.931,4287.7762,2.4769,200,13858.3217,16565.966,10.9071,200,
18-Jan-2004 10:29:47,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,2,0,0,0,0,logsig,3316.1637,3615.9956,2.1814,200,15746.4013,18197.0605,12.3178,200,
18-Jan-2004 10:30:12,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,3,0,0,0,0,logsig,2430.5198,2769.5312,1.624,200,12077.6868,14964.5605,9.4689,200,
18-Jan-2004 10:30:38,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,4,0,0,0,0,logsig,2408.2162,2722.0511,1.6207,200,11398.1103,14465.4314,8.9799,200,
18-Jan-2004 10:31:05,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,5,0,0,0,0,logsig,2447.2477,2721.9851,1.6459,200,13681.2587,16354.4919,10.6948,200,
18-Jan-2004 10:31:39,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,6,0,0,0,0,logsig,3604.2104,3894.1725,2.4007,200,17018.4788,19423.2047,13.2905,200,
18-Jan-2004 10:32:18,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,7,0,0,0,0,logsig,2457.6297,2700.3026,1.6171,200,14603.2325,17141.778,11.4385,200,
18-Jan-2004 10:32:58,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,8,0,0,0,0,logsig,2501.1818,2931.727,1.6692,200,13145.8411,15725.1955,10.2905,200,
18-Jan-2004 10:33:39,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,9,0,0,0,0,logsig,2726.6043,3067.4028,1.8173,200,14953.7584,17664.8838,11.7474,200,
18-Jan-2004 10:34:19,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,10,0,0,0,0,logsig,2245.3111,2492.5876,1.5007,200,13651.3276,16628.0715,10.739,200,
18-Jan-2004 10:35:00,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,11,0,0,0,0,logsig,2541.8371,2895.3528,1.7111,200,12247.6782,15156.7133,9.6369,200,
18-Jan-2004 10:35:42,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,12,0,0,0,0,logsig,2742.8479,3086.3277,1.8209,200,14061.5318,16748.568,11.0793,200,
18-Jan-2004 10:36:26,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,13,0,0,0,0,logsig,3198.5655,3885.4812,2.0921,200,16808.142,19230.496,13.0806,200,
18-Jan-2004 10:37:07,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,14,0,0,0,0,logsig,2684.1437,3068.9465,1.7733,200,15673.8693,18138.2045,12.2744,200,
18-Jan-2004 10:37:49,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,15,0,0,0,0,logsig,2250.9629,2539.1244,1.4829,200,13664.5967,16178.0064,10.6741,200,
18-Jan-2004 10:38:21,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,1,0,0,0,logsig,3059.9486,3416.8239,2.0124,200,13372.439,15933.8015,10.4912,200,
18-Jan-2004 10:38:59,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,2,0,0,0,logsig,2446.0158,2782.5934,1.6276,200,15925.3911,18481.6709,12.4592,200,
18-Jan-2004 10:39:36,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,3,0,0,0,logsig,5255.1013,5670.5911,3.4869,200,17093.5759,19715.1333,13.4037,200,
18-Jan-2004 10:40:18,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,4,0,0,0,logsig,2636.0053,2937.4114,1.761,200,14738.6259,17434.0335,11.576,200,
18-Jan-2004 10:40:58,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,5,0,0,0,logsig,2512.3518,2928.1425,1.6634,200,12969.9278,15440.2751,10.1275,200,
18-Jan-2004 10:41:38,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,6,0,0,0,logsig,3762.6172,4088.7849,2.5101,200,17365.2056,19906.0528,13.5646,200,
18-Jan-2004 10:42:27,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,7,0,0,0,logsig,2744.1574,3055.9534,1.8211,200,14209.3808,16696.8102,11.0875,200,
18-Jan-2004 10:43:10,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,8,0,0,0,logsig,2526.9686,2759.2306,1.6939,200,14766.7826,17264.542,11.5383,200,
18-Jan-2004 10:43:55,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,9,0,0,0,logsig,2407.4792,2653.6243,1.6243,200,13845.0995,16605.4946,10.8787,200,
18-Jan-2004 10:44:40,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,10,0,0,0,logsig,2500.0471,2781.4605,1.6776,200,13953.7985,16609.5429,10.9345,200,
18-Jan-2004 10:45:29,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,11,0,0,0,logsig,2576.0245,2860.7266,1.7023,200,16084.1211,18657.9597,12.5846,200,
18-Jan-2004 10:46:21,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,12,0,0,0,logsig,2507.214,2843.7731,1.6398,200,16190.8768,18734.5071,12.693,200,
18-Jan-2004 10:47:11,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,13,0,0,0,logsig,3391.3725,3990.0056,2.2264,200,13754.4557,16272.4971,10.7795,200,
18-Jan-2004 10:48:02,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,14,0,0,0,logsig,2371.8245,2586.6505,1.5909,200,13340.7998,16013.9055,10.4653,200,
